,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.7578125,0.357421875,0.060302734375,0.043701171875,0.306640625,-0.006622314453125,0.0167236328125,0.142578125,0.006011962890625,0.1181640625,0.396484375,0.365234375,0.2734375,0.1669921875,0.04638671875,0.310546875,0.006927490234375,0.00933837890625,0.091796875,0.01177978515625
a black haired woman dressed in white,0.369140625,0.52734375,0.044677734375,-0.01300048828125,0.26953125,-0.0201416015625,0.00445556640625,0.2236328125,0.00726318359375,0.038818359375,0.12255859375,0.484375,0.30859375,0.361328125,0.041259765625,0.21875,0.0098876953125,0.01263427734375,0.1103515625,0.002044677734375
a black vase of red flowers in the red background,0.19921875,0.2431640625,0.33203125,0.01171875,0.251953125,0.0130615234375,-0.044921875,0.1767578125,0.00823974609375,0.030517578125,0.06494140625,0.28125,0.4140625,0.11474609375,0.06640625,0.087890625,0.03125,0.2578125,0.0830078125,0.033935546875
a duck,0.0966796875,0.1318359375,0.056640625,0.330078125,0.107421875,0.003814697265625,-0.00897216796875,0.05029296875,0.0272216796875,0.03369140625,0.0537109375,0.138671875,0.08935546875,0.0498046875,0.0634765625,0.072265625,0.026123046875,-0.0032196044921875,0.0546875,-0.0022125244140625
a family having dinner,0.37109375,0.341796875,0.041015625,0.00518798828125,0.546875,0.004180908203125,0.0230712890625,0.1865234375,-0.0036773681640625,-0.0157470703125,0.13671875,0.466796875,0.265625,0.1494140625,0.0255126953125,0.21875,-0.015869140625,0.0174560546875,0.138671875,0.0096435546875
a forest with 3 tall trees standing out,0.1416015625,0.189453125,0.0576171875,0.044189453125,0.10009765625,0.310546875,0.13671875,0.322265625,0.04443359375,0.0341796875,0.0849609375,0.166015625,0.1923828125,0.10693359375,0.0213623046875,0.06689453125,0.267578125,0.041748046875,0.103515625,0.3203125
a forest with a cabin in the middle,0.1171875,0.15625,0.01422119140625,0.005523681640625,0.11572265625,0.2294921875,0.48828125,0.294921875,0.010498046875,-0.03125,0.04296875,0.171875,0.1328125,0.0693359375,0.0299072265625,0.06591796875,0.357421875,-0.0017242431640625,0.0791015625,0.052490234375
a forest with houses in front,0.1494140625,0.1845703125,0.0174560546875,0.01068115234375,0.130859375,0.341796875,0.353515625,0.4140625,0.033203125,-0.0269775390625,0.06982421875,0.1650390625,0.1953125,0.07275390625,0.02880859375,0.0703125,0.12060546875,0.0595703125,0.041015625,0.1484375
a house with some trees with people standing on the grass,0.140625,0.1904296875,-0.00457763671875,0.0177001953125,0.115234375,0.1767578125,0.054443359375,0.271484375,0.2734375,0.0101318359375,0.0693359375,0.16796875,0.140625,0.119140625,0.01300048828125,0.04638671875,0.04052734375,0.033203125,0.068359375,0.126953125
a man in black tuxedo standing,0.52734375,0.494140625,0.051513671875,0.0228271484375,0.2451171875,-0.0016632080078125,0.017578125,0.1357421875,0.04736328125,0.25,0.59375,0.41015625,0.265625,0.263671875,0.12255859375,0.2578125,-0.002349853515625,-0.009521484375,0.078125,0.0111083984375
