,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.7243969440460205,0.5474448204040527,0.3799487054347992,0.3581615686416626,0.5432815551757812,0.37431374192237854,0.3157113194465637,0.5346047878265381,0.4050195813179016,0.41503942012786865,0.6935039758682251,0.4784913957118988,0.51957106590271,0.5512527227401733,0.5521825551986694,0.5322635173797607,0.3710311949253082,0.3017675280570984,0.4060615599155426,0.4883119761943817
a black haired woman dressed in white,0.5812287330627441,0.6910539865493774,0.47069716453552246,0.43771588802337646,0.6491763591766357,0.4320681691169739,0.3636040687561035,0.6202165484428406,0.46373844146728516,0.4633869528770447,0.6016823053359985,0.6778398752212524,0.6548416018486023,0.7600303888320923,0.5428372621536255,0.5399789810180664,0.4671354591846466,0.40658682584762573,0.5334804058074951,0.6016654968261719
a black vase of red flowers in the red background,0.4925939440727234,0.616544783115387,0.6525161266326904,0.4394210875034332,0.5914103388786316,0.5078444480895996,0.4028007388114929,0.6610593795776367,0.49371591210365295,0.448779433965683,0.43132466077804565,0.6085176467895508,0.7449522018432617,0.6735111474990845,0.5148935914039612,0.5548129081726074,0.5455347299575806,0.5804177522659302,0.5298038721084595,0.6310997009277344
a duck,0.445185124874115,0.45622164011001587,0.5175479650497437,0.6732616424560547,0.4650563597679138,0.5253845453262329,0.41698509454727173,0.5328023433685303,0.44920986890792847,0.5016805529594421,0.4992378354072571,0.4860520362854004,0.4446921646595001,0.49167075753211975,0.5498918294906616,0.5084000825881958,0.6360207796096802,0.40555551648139954,0.4237573742866516,0.5850902795791626
a family having dinner,0.5058000087738037,0.536281943321228,0.4450058341026306,0.474852979183197,0.7744424939155579,0.4592418968677521,0.4420751631259918,0.6509900689125061,0.45186883211135864,0.4206834137439728,0.48830410838127136,0.6218754649162292,0.5531445145606995,0.5666584968566895,0.4884616732597351,0.6068885326385498,0.5040335059165955,0.44002097845077515,0.53505539894104,0.5696872472763062
a forest with 3 tall trees standing out,0.5433139204978943,0.6062499284744263,0.622708797454834,0.603188157081604,0.6344096660614014,0.7416619062423706,0.6600414514541626,0.7678576707839966,0.6088632345199585,0.5760314464569092,0.5039083361625671,0.6454403400421143,0.7364895343780518,0.6608090996742249,0.5630112886428833,0.5954324007034302,0.7241606116294861,0.6117819547653198,0.6752296686172485,0.8432040214538574
a forest with a cabin in the middle,0.5064886808395386,0.6042081713676453,0.48766136169433594,0.4775416851043701,0.6296714544296265,0.6560028791427612,0.6586196422576904,0.7791557312011719,0.5685297250747681,0.42168930172920227,0.45407217741012573,0.6094423532485962,0.7183728814125061,0.6825094223022461,0.511101245880127,0.5354870557785034,0.553230881690979,0.47243940830230713,0.5894047021865845,0.761772096157074
a forest with houses in front,0.5056496858596802,0.5239726305007935,0.4126202166080475,0.38961195945739746,0.5714555382728577,0.5731663703918457,0.5669057369232178,0.7644752264022827,0.5178968906402588,0.3338417112827301,0.44367605447769165,0.5459475517272949,0.660753607749939,0.6260888576507568,0.46890926361083984,0.45228683948516846,0.47457242012023926,0.4104243218898773,0.4910625219345093,0.6932786107063293
a house with some trees with people standing on the grass,0.5379654765129089,0.5680069923400879,0.4602091312408447,0.41224926710128784,0.6513348817825317,0.5347002744674683,0.48580363392829895,0.7459691762924194,0.589064359664917,0.40439486503601074,0.4492509663105011,0.6260902285575867,0.6744014620780945,0.7239949107170105,0.46195995807647705,0.5292707681655884,0.4543170928955078,0.40099895000457764,0.571114182472229,0.66690993309021
a man in black tuxedo standing,0.6568678617477417,0.5934077501296997,0.4561970829963684,0.41585296392440796,0.5831882953643799,0.41991281509399414,0.3608894348144531,0.5722847580909729,0.4592507779598236,0.5032705068588257,0.7760966420173645,0.5428467988967896,0.5612326860427856,0.644089937210083,0.6105597019195557,0.5573786497116089,0.4356265068054199,0.3581070601940155,0.436311274766922,0.5445623397827148
a man with moustache in a black suit,0.6983453035354614,0.5444532036781311,0.36694252490997314,0.38684800267219543,0.5325098037719727,0.36941781640052795,0.31193807721138,0.49868106842041016,0.41070181131362915,0.44916701316833496,0.7005706429481506,0.5158880949020386,0.5077607035636902,0.5971401929855347,0.6165975332260132,0.5138905048370361,0.3665540814399719,0.30545589327812195,0.4110000729560852,0.5034327507019043
"a mother, a daughter and a son",0.580545961856842,0.631648063659668,0.5325133800506592,0.43785524368286133,0.7638046741485596,0.4842769503593445,0.4458885192871094,0.6630752086639404,0.5014233589172363,0.49333223700523376,0.5283998250961304,0.7182232737541199,0.6861684322357178,0.7127718925476074,0.5223878026008606,0.6125286221504211,0.4932825565338135,0.45489123463630676,0.5785015821456909,0.6320935487747192
a pot of flowers near the closed window in the back,0.41504910588264465,0.5851958990097046,0.6551933288574219,0.47062185406684875,0.6202493906021118,0.49837011098861694,0.45260322093963623,0.6308463215827942,0.48775818943977356,0.47312650084495544,0.41194862127304077,0.5890758633613586,0.7823172807693481,0.5952271223068237,0.47240400314331055,0.5684354901313782,0.5743956565856934,0.6029443740844727,0.5933902263641357,0.6614681482315063
